NLOC    Avg.NLOC  AvgCCN  Avg.token  function_cnt    file
5      1     22      1      11 permute_recursive@44-54@../algorithms/algorithms/backtrack/permute.py
5      1     28      1      17 subsets_unique@21-37@../algorithms/algorithms/backtrack/subsets_unique.py
5      3     34      2       5 unique_array_sum_combinations.check_sum@69-73@../algorithms/algorithms/backtrack/array_sum_combinations.py
5      1     25      1      18 subsets@22-39@../algorithms/algorithms/backtrack/subsets.py
5      3     34      1       5 subsets_v2@55-59@../algorithms/algorithms/backtrack/subsets.py
5      1     23      1      13 generate_parenthesis_v1@17-29@../algorithms/algorithms/backtrack/generate_parenthesis.py
5      1     23      1      12 generate_parenthesis_v2@32-43@../algorithms/algorithms/backtrack/generate_parenthesis.py
5      1     25      1      19 generate_abbreviations@8-26@../algorithms/algorithms/backtrack/generate_abbreviations.py
5      2     46      2      11 root@54-64@../algorithms/algorithms/unionfind/count_islands.py
5      3     36      1       5 delete_node@18-22@../algorithms/algorithms/linkedlist/delete_node.py
5      1     40      1       5 test_convert_to_str@83-87@../algorithms/algorithms/linkedlist/add_two_numbers.py
5      3     39      3       7 dfs@22-28@../algorithms/algorithms/graph/count_connected_number_of_component.py
5      2     40      3       8 add_edge@21-28@../algorithms/algorithms/graph/transitive_closure_dfs.py
5      3     52      3      13 dfs_util@30-42@../algorithms/algorithms/graph/transitive_closure_dfs.py
5      2     42      2      10 __init__@26-35@../algorithms/algorithms/graph/minimum_spanning_tree.py
5      2     38      4       9 initialize_single_source@40-48@../algorithms/algorithms/graph/bellman_ford.py
5      3     41      3       8 dfs_util@39-46@../algorithms/algorithms/graph/check_digraph_strongly_connected.py
5      4     25      2       5 _check_every_number_in_bitsum@50-54@../algorithms/algorithms/streaming/one_sparse_recovery.py
5      3     25      2       8 next_greatest_letter_v2@53-60@../algorithms/algorithms/search/next_greatest_letter.py
5      3     28      2      10 linear_search@6-15@../algorithms/algorithms/search/linear_search.py
5      1     39      2       7 join_with_slash@12-18@../algorithms/algorithms/unix/path/join_with_slash.py
5      1     41      2       5 __init__@16-20@../algorithms/algorithms/map/hashtable.py
5      3     41      2       6 perc_up@69-74@../algorithms/algorithms/heap/binary_heap.py
5      2     39      3       5 rotate_v2.reverse@42-46@../algorithms/algorithms/arrays/rotate.py
5      2     33      1       6 print_intervals@58-63@../algorithms/algorithms/arrays/merge_intervals.py
5      1     41      5       5 __init__@13-17@../algorithms/algorithms/compression/huffman_coding.py
5      2     34      1       5 close@185-189@../algorithms/algorithms/compression/huffman_coding.py
5      2     30      1       5 find_next_square@8-12@../algorithms/algorithms/maths/next_perfect_square.py
5      2     28      2       7 generate_key.modinv@40-46@../algorithms/algorithms/maths/rsa.py
5      2     30      1       5 num_digits@8-12@../algorithms/algorithms/maths/num_digits.py
5      3     31      1       5 all_monomials@485-489@../algorithms/algorithms/maths/polynomial.py
5      2     44      2       8 square_root@12-19@../algorithms/algorithms/maths/sqrt_precision_factor.py
5      2     33      1       5 house_robber@15-19@../algorithms/algorithms/dp/house_robber.py
5      2     33      1      19 fib_recursive@20-38@../algorithms/algorithms/dp/fib.py
5      2     45      1       9 climb_stairs@14-22@../algorithms/algorithms/dp/climbing_stairs.py
5      2     30      1       9 climb_stairs_optimized@28-36@../algorithms/algorithms/dp/climbing_stairs.py
5      3     45      1       9 print_hosoya@37-45@../algorithms/algorithms/dp/hosoya_triangle.py
5      1     35      2      11 combination_sum_topdown@49-59@../algorithms/algorithms/dp/combination_sum.py
